Body,Implies,Head,Support,Confidence
{18}, --> ,{14},0.12617820668977794,0.3456888364093744
{14}, --> ,{18},0.12617820668977794,0.3808109942314218
{34}, --> ,{14},0.1071207720416003,0.3355639693581051
{14}, --> ,{34},0.1071207720416003,0.32329487614523245
{56}, --> ,{14},0.12650613698116744,0.34430702537294405
{14}, --> ,{56},0.12650613698116744,0.38180070127813603
{60}, --> ,{14},0.10697086105125082,0.35024695524127986
{14}, --> ,{60},0.10697086105125082,0.32284243863816314
{67}, --> ,{14},0.1050032793029139,0.3451706295429346
{86}, --> ,{14},0.10489084606015178,0.3452795854794436
{18}, --> ,{34},0.11865454886161342,0.32507636624996794
{34}, --> ,{18},0.11865454886161342,0.37169440286460625
{56}, --> ,{18},0.138667666073269,0.3774066046155808
{18}, --> ,{56},0.138667666073269,0.3799060502605437
{60}, --> ,{18},0.11616227864705331,0.3803417492407276
{67}, --> ,{18},0.11641525344326806,0.3826844893433535
{86}, --> ,{18},0.11288297573315843,0.3715880701970823
{56}, --> ,{34},0.12277710109622411,0.3341578477623358
{34}, --> ,{56},0.12277710109622411,0.38460861142907454
{67}, --> ,{34},0.10191136512695587,0.335006775902427
{34}, --> ,{86},0.10521877635154127,0.3296058231340436
{86}, --> ,{34},0.10521877635154127,0.34635906609505596
{56}, --> ,{60},0.11976951185233767,0.32597220451357894
{60}, --> ,{56},0.11976951185233767,0.3921526520845476
{56}, --> ,{67},0.11914175958024922,0.3242636746143057
{67}, --> ,{56},0.11914175958024922,0.39164716028089197
{56}, --> ,{86},0.12051906680408507,0.3280122402142037
{86}, --> ,{56},0.12051906680408507,0.396724547389199
